Company,Ticker
Tesco,TSCO.LON
Morrisons,MRW.LON
Lloyds Banking,LLOY.LON
BAE Systems,BA.LON
Mitchells and Butlers,MAB.LON
Barclays,BARC.LON
Associated British Foods,ABF.LON
Next,NXT.LON
Natwest,NWG.LON
International Airlines Group,IAG.LON
HSBC,HSBA.LON
B&M European Value Retail,BME.LON
Babcock,BAB.LON
Wetherspoons,JDW.LON
Serco,SRP.LON
Greggs,GRG.LON
Smiths Group,SMIN.LON
Bakkavor,BAKK.LON
WPP,WPP.LON
BP,BP.LON
