Company,year,Industry,Sector,lq_pay,m_pay,uq_pay
Serco,2019,Industrials,Support Services,26066,30072,34420
Severn Trent,2025,Utilities,"Gas, Water and Multi-Utilities",38900,50900,61900
Severn Trent,2022,Utilities,"Gas, Water and Multi-Utilities",34000,43500,52400
Severn Trent,2021,Utilities,"Gas, Water and Multi-Utilities",30500,36600,50100
Severn Trent,2020,Utilities,"Gas, Water and Multi-Utilities",32700,42100,51300
Severn Trent,2024,Utilities,"Gas, Water and Multi-Utilities",37100,47800,58300
Severn Trent,2023,Utilities,"Gas, Water and Multi-Utilities",34200,43900,52900
Signature Aviation,2019,Industrials,Industrial Transportation,27932,37120,44980
Smith & Nephew,2024,Health Care,Health Care and Equipment Services,39220,55556,83839
Smith & Nephew,2021,Health Care,Health Care and Equipment Services,31778,46374,69763
Smith & Nephew,2020,Health Care,Health Care and Equipment Services,31481,45325,74310
Smith & Nephew,2019,Health Care,Health Care and Equipment Services,30400,43375,68614
Smith & Nephew,2023,Health Care,Health Care and Equipment Services,36375,51553,80862
Smith & Nephew,2022,Health Care,Health Care and Equipment Services,32794,48855,74799
Smiths (DS),2021,Industrials,General Industrials,28042,35384,42142
Smiths (DS),2020,Industrials,General Industrials,27244,32342,40349
Smiths (DS),2023,Industrials,General Industrials,31850,40288,41564
Smiths (DS),2022,Industrials,General Industrials,31877,42645,46215
Smiths Group,2021,Industrials,General Industrials,30754,42535,67845
Smiths Group,2020,Industrials,General Industrials,29391,41335,64101
Smiths Group,2023,Industrials,General Industrials,33452,46789,69392
Smiths Group,2022,Industrials,General Industrials,31375,47507,69420
Smiths Group,2024,Industrials,General Industrials,35678,53150,81555
Smurfitt Kappa,2021,Industrials,Industrial Goods and Services,35394,46379,64819
Softcat,2023,Technology,Software and Computer Services,25594,41929,77393
Softcat,2022,Technology,Software and Computer Services,28574,44594,79816
Softcat,2021,Technology,Software and Computer Services,29184,45347,81661
Softcat,2020,Technology,Software and Computer Services,30215,46300,83274
Spectris,2023,Industrials,Electronic and Electrical Equipment,32740,46688,64922
Spectris,2022,Industrials,Electronic and Electrical Equipment,33712,46440,66029
Spectris,2021,Industrials,Electronic and Electrical Equipment,31192,44611,63209
Spectris,2020,Industrials,Electronic and Electrical Equipment,29909,39531,56226
Spectris,2019,Industrials,Electronic and Electrical Equipment,28509,37789,54990
Spirax Sarco,2024,Industrials,Industrial Engineering,38000,44000,70000
Spirax Sarco,2021,Industrials,Industrial Engineering,29839,40014,54043
Spirax Sarco,2020,Industrials,Industrial Engineering,29286,33707,48964
Spirax Sarco,2019,Industrials,Industrial Engineering,25391,37503,60618
Spirax Sarco,2023,Industrials,Industrial Engineering,35313,41510,64611
Spirax Sarco,2022,Industrials,Industrial Engineering,33622,47416,60250
Spire Healthcare,2023,Health Care,Health Care Providers,24911,32876,48223
Spire Healthcare,2022,Health Care,Health Care Providers,23800,32810,47281
Spire Healthcare,2021,Health Care,Health Care Providers,19285,23529,44503
Spirent Communications,2023,Telecommunications,Telecommunications Equipment,36000,57919,91464
Spirent Communications,2022,Telecommunications,Telecommunications Equipment,44290,65605,102431
Spirent Communications,2021,Telecommunications,Telecommunications Equipment,46758,67513,114830
Spirent Communications,2020,Telecommunications,Telecommunications Equipment,37081,58484,102506
Spirent Communications,2019,Telecommunications,Telecommunications Equipment,34979,47063,106327
SSE,2025,Utilities,Electricity,40000,57000,75000
SSE,2022,Utilities,Electricity,33046,43793,61195
SSE,2021,Utilities,Electricity,32268,42295,59454
SSE,2020,Utilities,Electricity,29234,40908,54863
SSE,2023,Utilities,Electricity,34881,47864,65199
SSP Group,2024,Consumer Services,Travel & Leisure,23489,29919,32400
SSP Group,2023,Consumer Services,Travel & Leisure,23613,30356,31868
SSP Group,2022,Consumer Services,Travel & Leisure,26435,37465,36824
SSP Group,2021,Consumer Services,Travel & Leisure,21525,25832,35709
SSP Group,2020,Consumer Services,Travel & Leisure,15203,15573,22461
St James's Place,2021,Financials,Investment Banking and Brokerage Services,41622,57324,61426
St James's Place,2021,Financials,Investment Banking and Brokerage Services,37317,58307,104252
St James's Place,2020,Financials,Investment Banking and Brokerage Services,31806,50000,77876
St James's Place,2019,Financials,Investment Banking and Brokerage Services,34437,53936,88595
St James's Place,2024,Financials,Investment Banking and Brokerage Services,46597,63671,94654
St James's Place,2023,Financials,Investment Banking and Brokerage Services,40828,59600,105450
St James's Place,2022,Financials,Investment Banking and Brokerage Services,41622,57324,102845
St Modwen Properties,2019,Financials,Real Estate Investment and Services,30957,51470,80096
Standard Chartered,2021,Financials,Banks,92000,139000,215000
Standard Chartered,2020,Financials,Banks,84000,128000,199000
Standard Chartered,2019,Financials,Banks,83000,128000,212000
Standard Chartered,2024,Financials,Banks,113000,164000,247000
Standard Chartered,2023,Financials,Banks,110000,162000,247000
Standard Chartered,2022,Financials,Banks,95000,145000,228000
Standard Life Aberdeen,2021,Financials,Investment Banking and Brokerage Services,45000,62000,113000
Standard Life Aberdeen,2020,Financials,Investment Banking and Brokerage Services,38000,61000,102000
Standard Life Aberdeen,2019,Financials,Investment Banking and Brokerage Services,44000,64000,117000
SThree,2023,Industrials,Industrial Goods and Services,28346,45255,75873
SThree,2022,Industrials,Industrial Goods and Services,23281,42104,68558
Synthomer,2022,Basic Materials,Chemicals,40400,46029,63683
Synthomer,2021,Basic Materials,Chemicals,42277,52342,72622
Synthomer,2020,Basic Materials,Chemicals,42030,55854,70401
Synthomer,2019,Basic Materials,Chemicals,36069,45012,62619
TalkTalk Group,2021,Telecommunications,Telecommunications Service Providers,29155,42400,61480
TalkTalk Group,2020,Telecommunications,Telecommunications Service Providers,35567,50810,76214
Tate & Lyle,2024,Consumer Goods,Food Producers,39051,88839,149770
Tate & Lyle,2023,Consumer Goods,Food Producers,45132,91447,156187
Tate & Lyle,2022,Consumer Goods,Food Producers,48748,97860,175464
Tate & Lyle,2021,Consumer Goods,Food Producers,45921,88780,154671
Tate & Lyle,2020,Consumer Goods,Food Producers,46064,93677,201522
Taylor Wimpey,2024,Consumer Goods,Household Goods and Home Construction,37820,52072,77723
Taylor Wimpey,2021,Consumer Goods,Household Goods and Home Construction,31651,46455,69721
Taylor Wimpey,2020,Consumer Goods,Household Goods and Home Construction,28389,42492,56844
Taylor Wimpey,2019,Consumer Goods,Household Goods and Home Construction,32342,41483,62418
Taylor Wimpey,2023,Consumer Goods,Household Goods and Home Construction,32355,52296,68305
Taylor Wimpey,2022,Consumer Goods,Household Goods and Home Construction,34130,51838,81411
Telecom Plus,2025,Telecommunications,Telecommunications,28090,32839,46433
Telecom Plus,2023,Telecommunications,Telecommunications,23223,27186,37313
Telecom Plus,2023,Telecommunications,Telecommunications,24565,28532,35829
Telecom Plus,2022,Telecommunications,Telecommunications,15305,27752,35029
Telecom Plus,2021,Telecommunications,Telecommunications,19300,27700,35000
Telecom Plus,2020,Telecommunications,Telecommunications Service Providers,15632,27000,37125
Tesco,2025,Consumer Services,Food and Drug Retailers,22452,24731,28358
Tesco,2022,Consumer Services,Food and Drug Retailers,18912,21217,21937
Tesco,2021,Consumer Services,Food and Drug Retailers,19362,22239,22724
Tesco,2020,Consumer Services,Food and Drug Retailers,18086,21057,23046
Tesco,2024,Consumer Services,Food and Drug Retailers,22180,23010,25583
Tesco,2023,Consumer Services,Food and Drug Retailers,19196,22533,24374
TI Fluid Systems,2023,Industrials,Automobiles and Parts,32000,40000,72000
TI Fluid Systems,2022,Industrials,Automobiles and Parts,25795,31814,55890
TI Fluid Systems,2021,Industrials,Automobiles and Parts,21836,30234,52070
TI Fluid Systems,2020,Industrials,Automobiles and Parts,23000,39000,60000
TI Fluid Systems,2019,Industrials,Automobiles and Parts,26455,31746,52910
TP ICAP,2023,Financials,Investment Banking and Brokerage Services,65189,117661,221336
TP ICAP,2022,Financials,Investment Banking and Brokerage Services,61938,111537,210167
TP ICAP,2021,Financials,Investment Banking and Brokerage Services,58448,106055,209029
TP ICAP,2020,Financials,Investment Banking and Brokerage Services,57128,107115,233703
TP ICAP,2019,Financials,Investment Banking and Brokerage Services,57064,109716,230554
Trainline,2024,Consumer Services,Travel & Leisure,47000,81000,97000
Trainline,2023,Consumer Services,Travel & Leisure,45000,75000,98000
Trainline,2022,Consumer Services,Travel & Leisure,38000,71000,92000
Trainline,2021,Consumer Services,Travel & Leisure,41000,70000,93000
Trainline,2020,Consumer Services,Travel & Leisure,29000,47000,64000
Travis Perkins,2024,Industrials,Support Services,27019,30144,35841
Travis Perkins,2023,Industrials,Support Services,24372,28035,34349
Travis Perkins,2022,Industrials,Support Services,23169,26506,32830
Travis Perkins,2021,Industrials,Support Services,21617,26462,33116
Travis Perkins,2020,Industrials,Support Services,19019,23097,30166
Travis Perkins,2019,Industrials,Support Services,19760,24154,32332
Trustpilot,2024,Consumer Services,Support Services,51335,78976,122414
Trustpilot,2023,Consumer Services,Support Services,64374,83200,97080
Tullow Oil,2022,Oil and Gas,Oil and Gas Producers,119884,183913,249639
Tullow Oil,2021,Oil and Gas,Oil and Gas Producers,118182,181098,244252
Tyman,2023,Industrials,Construction & Materials,25720,30860,44100
Tyman,2021,Industrials,Construction & Materials,19897,23524,36451
Ultra Electronics,2021,Industrials,Aerospace and Defence,29060,43374,60814
Ultra Electronics,2020,Industrials,Aerospace and Defence,30915,4416,60963
Ultra Electronics,2019,Industrials,Aerospace and Defence,29549,43151,59500
Unilever,2024,Consumer Goods,Personal Goods,53620,66215,100517
Unilever,2021,Consumer Goods,Personal Goods,48229,60306,90335
Unilever,2020,Consumer Goods,Personal Goods,45713,55751,80670
Unilever,2019,Consumer Goods,Personal Goods,50689,61086,87982
Unilever,2023,Consumer Goods,Personal Goods,52551,65305,103527
Unilever,2022,Consumer Goods,Personal Goods,49868,61553,93612
Unite Group,2024,Consumer Goods,Personal Goods,26600,29800,40000
Unite Group,2023,Consumer Goods,Personal Goods,24700,32500,36600
Unite Group,2022,Consumer Goods,Personal Goods,22400,25900,37700
Unite Group,2021,Financials,Real Estate Investment Trusts,24400,25300,32800
Unite Group,2020,Financials,Real Estate Investment Trusts,21200,24600,32000
Unite Group,2019,Financials,Real Estate Investment Trusts,20620,24414,33459
United Utilities,2025,Utilities,"Gas, Water and Multi-Utilities",41000,55000,69000
United Utilities,2022,Utilities,"Gas, Water and Multi-Utilities",35000,46000,59000
United Utilities,2021,Utilities,"Gas, Water and Multi-Utilities",34000,46000,58000
United Utilities,2020,Utilities,"Gas, Water and Multi-Utilities",33000,44000,56000
United Utilities,2024,Utilities,"Gas, Water and Multi-Utilities",39000,53000,66000
United Utilities,2023,Utilities,"Gas, Water and Multi-Utilities",37000,49000,61000
Vanquis Banking,2022,Financials,Financial Services,25900,36000,65000
Vectura,2020,Health Care,Pharmaceuticals and Biotechnology,40241,56801,89607
Vectura,2019,Health Care,Pharmaceuticals and Biotechnology,39815,55161,87891
Vesuvius,2023,Industrials,Industrial Engineering,41367,53938,108893
Vesuvius,2022,Industrials,Industrial Engineering,36030,47013,84926
Vesuvius,2021,Industrials,Industrial Engineering,33216,43233,82829
Vesuvius,2020,Industrials,Industrial Engineering,37119,45000,75293
Vesuvius,2019,Industrials,Industrial Engineering,37119,45000,75293
Victrex,2023,Basic Materials,Chemicals,47804,54269,66755
Victrex,2022,Basic Materials,Chemicals,45336,52561,64250
Victrex,2021,Basic Materials,Chemicals,46836,53804,66765
Victrex,2020,Basic Materials,Chemicals,43520,49828,63556
Victrex,2019,Basic Materials,Chemicals,42864,48002,60799
Videndum,2022,Industrials,Industrial Engineering,29804,42020,69610
Videndum,2021,Industrials,Industrial Engineering,26361,37726,58866
Virgin Money,2023,Financials,Banks,29118,40254,63629
Virgin Money,2022,Financials,Banks,28626,38546,61013
Virgin Money,2021,Financials,Banks,25851,35627,59006
Virgin Money,2020,Financials,Banks,24047,31892,52329
Vistry Group,2023,Consumer Goods,Household Goods and Home Construction,36722,54613,79944
Vistry Group,2022,Consumer Goods,Household Goods and Home Construction,26743,45740,72111
Vistry Group,2021,Consumer Goods,Household Goods and Home Construction,33757,52511,73844
Vistry Group,2020,Consumer Goods,Household Goods and Home Construction,30000,43883,65586
Vistry Group,2019,Consumer Goods,Household Goods and Home Construction,36091,49792,64500
Vodafone,2025,Telecommunications,Telecommunications Service Providers,47000,75700,90500
Vodafone,2022,Telecommunications,Telecommunications Service Providers,36900,57500,87200
Vodafone,2021,Telecommunications,Telecommunications Service Providers,33500,41000,85300
Vodafone,2020,Telecommunications,Telecommunications Service Providers,31300,51100,78600
Vodafone,2024,Telecommunications,Telecommunications Service Providers,41300,63700,88500
Vodafone,2023,Telecommunications,Telecommunications Service Providers,34600,70500,92800
Volution Group,2024,Industrials,Construction & Materials,24332,25888,45556
Volution Group,2023,Industrials,Construction & Materials,23870,27185,50552
Volution Group,2022,Industrials,Construction & Materials,20157,22255,31612
Volution Group,2021,Industrials,Construction & Materials,18710,22000,30450
Watches of Switzerland,2023,Consumer Services,General Retailers,23100,26900,36200
Watches of Switzerland,2022,Consumer Services,General Retailers,22000,26100,35500
Watches of Switzerland,2021,Consumer Services,General Retailers,20100,23900,33100
Watches of Switzerland,2020,Consumer Services,General Retailers,20500,24900,36300
Weir Group,2024,Industrials,Industrial Engineering,41601,54502,84513
Weir Group,2023,Industrials,Industrial Engineering,40042,49045,71369
Weir Group,2022,Industrials,Industrial Engineering,37457,47845,64254
Weir Group,2021,Industrials,Industrial Engineering,33250,42070,58069
Weir Group,2020,Industrials,Industrial Engineering,32772,40093,52671
Weir Group,2019,Industrials,Industrial Engineering,30977,39772,51374
Wetherspoons,2022,Consumer Services,Travel & Leisure,21638,22599,33899
Wetherspoons,2021,Consumer Services,Travel & Leisure,19829,20325,21395
Wetherspoons,2020,Consumer Services,Travel & Leisure,14760,23063,27333
WH Smith,2023,Consumer Services,General Retailers,21598,21598,27030
WH Smith,2022,Consumer Services,General Retailers,18850,18910,25011
WH Smith,2021,Consumer Services,General Retailers,16795,16795,22950
WH Smith,2020,Consumer Services,General Retailers,17684,18203,23016
WH Smith,2019,Consumer Services,General Retailers,14276,16502,17034
Whitbread,2025,Consumer Services,Travel & Leisure,24427,25236,27068
Whitbread,2022,Consumer Services,Travel & Leisure,19659,20592,22153
Whitbread,2021,Consumer Services,Travel & Leisure,18682,19539,20824
Whitbread,2020,Consumer Services,Travel & Leisure,17597,18429,19739
Whitbread,2024,Consumer Services,Travel & Leisure,22450,23421,25350
Whitbread,2023,Consumer Services,Travel & Leisure,21326,22224,23938
William Hill,2020,Consumer Services,Travel & Leisure,17162,19216,21075
William Hill,2019,Consumer Services,Travel & Leisure,16268,19265,20918
Wizz Air,2024,Consumer Services,Travel & Leisure,24423,29575,52104
Wizz Air,2023,Consumer Services,Travel & Leisure,25688,31339,50055
Wizz Air,2022,Consumer Services,Travel & Leisure,20906,28472,58927
Wizz Air,2021,Consumer Services,Travel & Leisure,21760,27978,47744
Wood Group,2023,Oil and Gas,Oil Equipment and Services,52000,75000,99000
Wood Group,2022,Oil and Gas,Oil Equipment and Services,47000,68000,93000
Wood Group,2021,Oil and Gas,Oil Equipment and Services,45000,68000,86000
Wood Group,2020,Oil and Gas,Oil Equipment and Services,42000,66000,80000
Wood Group,2019,Oil and Gas,Oil Equipment and Services,35000,46000,68000
Workspace,2024,Real Estate,Real Estate Investment Trusts,37750,51498,82463
Workspace,2023,Real Estate,Real Estate Investment Trusts,33286,48886,73350
WPP,2024,Consumer Services,Media,40831,71587,105638
WPP,2021,Consumer Services,Media,37606,48293,68585
WPP,2020,Consumer Services,Media,31800,46800,73840
WPP,2019,Consumer Services,Media,32636,46975,77416
WPP,2023,Consumer Services,Media,41587,64234,92627
WPP,2022,Consumer Services,Media,43417,56460,82551
XP Power,2021,Industrials,Electronic and Electrical Equipment,32801,53138,87833
XP Power,2020,Industrials,Electronic and Electrical Equipment,26924,43210,74903
XP Power,2019,Industrials,Electronic and Electrical Equipment,28813,46100,76833
Zigup,2023,Industrials,Industrial Transportation,24000,29000,41000
